page	y	legacy	rom	te
4	614.6	3. ÑÐèþ$Ë Ðé¯èþÌZ  ............. (™èþyæþ$) 7. ÔèýÆæÿÃ ......... (Byæþ$)		3. విమల వానలో ............ (తడు). 7. శర్మ......... (ఆడు)
4	631.2	4. ËMìü‡ ............ (Hyæþ$)		4. లక్ష్మి .......... (ఏడు)
5	182.4	1. X™èþ G…§æþ$Mæü$ ºÄæý$sìýMìü Ððþâæý$¢¯èþ²¨? 3. X™èþÐéâæýå AÐèþ$Ã H… ^óþçÜ$¢¯èþ²¨?		1. గీత ఎందుకు బయటికి వెళ్తున్నది? _ 3. గీతవాళ్ళ అమ్మ ఏం చేస్తున్నది?
5	199.0	2. »êº$ G…§æþ$Mæü$ Hyæþ$çÜ$¢¯é²yæþ$?		4. సరోజ ఎందుకు “కమలా! మనం
5	199.0	"4. çÜÆøf G…§æþ$Mæü$ ""MæüÐèþ$Ìê!  Ðèþ$¯èþ…"		4. సరోజ ఎందుకు “కమలా! మనం
5	215.6	Gç³µsìý°…_ Hyæþ$çÜ$¢¯é²yæþ$?		ఆ గదిలో కూర్చుందాం. అంటున్నది.
5	215.6	B Væü¨ÌZ Mæü*Ææÿ$a…§é…' A…r$¯èþ²¨.		ఆ గదిలో కూర్చుందాం. అంటున్నది.
5	281.9	¯óþ¯èþ$ and MæüÐèþ$Ë as subjects, and in hortative with Ðèþ$¯èþ… as subject.		నేను ఇగ6 కమల 23 300606, ౫26 0 [062676 44 మనం 23 9ఇర్సంంఓ
5	305.1	í³Ë$!		ర
5	305.1	MæüË$!		ర
5	305.1	Hyæþ$!		ర
5	305.1	Ìôý!		ర
5	305.1	Æ>!		ర
5	321.6	Æ>Æÿ$$!		పడు!
5	321.6	™èþyæþ$!		పడు!
5	321.6	™èþ$yæþ$!		పడు!
5	321.6	Byæþ$!		పడు!
5	321.6	ç³yæþ$!		పడు!
5	378.0	¯óþ¯èþ$ ¯èþyìþ^é¯èþ$.		సరళ నడిచింది.
5	378.0	çÜÆæÿâæý ¯èþyìþ_…¨.		సరళ నడిచింది.
5	394.6	¯óþ¯èþ$ ¯èþyæþÐèþr… Ìôý§æþ$ çÜÆæÿâæý ¯èþyæþÐèþr… Ìôý§æþ$.		నేను నడవటం లేదు సరళ నడవటం లేదు.
5	411.1	¯óþ¯èþ$ ¯èþyæþ$Ýë¢¯èþ$.		సరళ నడుస్తుంది.
5	411.1	çÜÆæÿâæý ¯èþyæþ$çÜ$¢…¨		సరళ నడుస్తుంది.
5	427.7	Ðèþ$¯èþ… ¯èþyæþ$§éª….		మనం నడుద్దాం.
5	495.1	™èþ$yæþ$^Œþ		తుడుచ్‌
5	497.1	¯èþyæþ$^Œþ		నడుచ్‌
5	511.7	í³Ë$^Œþü		పిలుచ్‌.
5	513.7	¯ðþÐèþ$Ã¨V>		నెమ్మదిగా
5	528.2	A™èþ¢Äæý$Å		అత్తయ్య
5	530.2	ÐèþÆæÿ…yé		వరండా
5	544.8	ç³Ë$Mæü$		పలుకు
5	546.8	Ìôý^Œþ		లేవ్‌
5	561.4	ò³§æþªV>		పెద్దగా
5	563.4	Fyæþ$^Œþ		ఊడుచ్‌
5	578.0	Ððþ$$çßý…		మొహం
5	580.0	™ðþÆæÿ$^Œþ		తెరుచ్‌
5	594.5	Hyæþ$^Œþ		ఏడుచ్‌
5	596.5	ò³…§æþÌêyìþüü		'పెందలాడి.
5	611.1	FÇMóü¯óþü		ఊరికేనే.
6	182.4	In this lesson the ^Œþüc ending bases are introduced.  These bases		1 113 109500 థం చ్‌ 6౦06108 02363 200 10006008. ౧656 02363.
6	215.6	- í³Ë$^Œþü		- ఫిలుచ్‌.
6	232.2	- Fyæþ$^Œþ		- ఊడుచ్‌
6	248.7	- Ìôý^Œþ		-లేచ్‌
6	270.2	í³Ë$^Œþ+C…+¨ = í³Í^Œþ+C…+¨ = í³Í_…¨ (33.3) ‘She called.’		'పిలుచ్‌+ఇం+ది = పిలిచ్‌+ఇం+ది = పిలిచింది (33.3) “516 021060
6	309.3	The ^Œþüc ending bases drop their final ^Œþüc when they are used in		16 చ్‌ంలయ6ఘ8 0863 6000 టయ ముత చ్‌ 6౪0ల) కలు 26 0506 10.
6	347.6	! í³Ë$!		- పిలు!
6	347.7	í³Ë$^Œþ		పిలుచ్‌
6	364.2	Fyæþ$^Œþ - ! Fyæþ$!		ఊడుచ్‌ - ఊడు!
6	380.8	-! Ìôý!		బాలే!
6	380.9	Ìôý^Œþ		లేచ్‌
6	402.7	The ^Œþüc ending bases change their final ^Œþüc to ÐŒþþv when followed		00 చ్‌ంలరమక 0286 యజుక్రం (ల మజ చ్‌ 010 వ్‌ 7౪162 1080౪06.
6	419.3	by a suffix beginning with Aüa or Bþ¡ (cf. ‹Üþs ending bases 33.5.)		00 2 900000 00908 ౪1 అ 20 ఆ 2(0.స్‌ లురమక 0863 33వ
6	441.2	í³Ë$^Œþ+Ar… = í³Ë^Œþ+Ar… (33.3) = í³ËÐŒþ+Ar… = í³ËÐèþr…		'పిలుచ్‌+అటం = పిలచ్‌+అటం (33.3) = పిలవ్‌+అటం = పిలవటం
6	474.3	™ðþÆæÿ$^Œþ+BÍ = ™ðþÆæÿ^Œþ+BÍ (33.3) = ™ðþÆæÿÐŒþ+BÍ = ™ðþÆæÿÐéÍ		తెరుచ్‌+ఆలి = తెరచ్‌+అలి (33.3) _ = తెరవ్‌+ఆలి = తెరవాలి
6	507.5	Fyæþ$^Œþ+Ar… = Fyæþ^Œþ+Ar… (33.3) = FyæþÐŒþ+Ar… = FyæþÐèþr…		ఊడుచ్‌+అటం = ఉఊడచ్‌+అటం (33.3) = ఊడవ+అటం = ఊడవటం
6	540.6	Ìôý^Œþ+AMæü$ = ÌôýÐŒþ+AMæü$		= లేవకు
6	540.6	= ÌôýÐèþMæü$		= లేవకు
6	573.8	Ìôý^Œþ+BÍ = ÌôýÐŒþ+BÍ		= లేవాలి
6	573.8	= ÌôýÐéÍ		= లేవాలి
7	159.7	The ^Œþüc ending bases change their final ^Œþüc to ‹Üþs when followed		00 చ్‌ంల6మక 0236 యయిక్రం కయ [041 చ్‌ 010 న్‌ ౩౪162 1080౪06.
7	175.1	by a suffix beginning with ™Œþ tü.		00 2 8000 00008 ౪46 త్‌ ౧
7	195.9	í³Ë$^Œþ+™é+yæþ$ = í³Ë$‹Ü+™é+yæþ$ = í³Ë$Ýë¢yæþ$		'పిలుచ్‌+తా+డు = పిలుస్‌+తా+డు = పిలుస్తాడు
7	226.6	Fyæþ$^Œþ+™é+Ðèþ# = Fyæþ$‹Ü+™é+Ðèþ# = Fyæþ$Ýë¢Ðèþ#		ఊడుచ్‌+తా+వు = ఊడుస్‌+తా+వు = ఊడుస్తావు
7	257.3	Ìôý^Œþ+™èþ$¯é²+¯èþ$ = Ìôý‹Ü+™èþ$¯é²+¯èþ$ = ÌôýçÜ$¢¯é²¯èþ$		లేచ్‌+తున్నాశను = లేన్‌+తున్నా+ను = లేస్తున్నాను
7	287.0	= ¯èþyìþ^Œþ+C™óþ  = ¯èþyìþ‹Ü+C™óþ = ¯èþyìþõÜ¢ ‘If someone walks’ ¯èþyæþ$^Œþ+C™óþ		
7	324.1	The final ^Œþ c becomes §Šþ d when followed by a suffix beginning		06 కతేచ్‌ 60600068 ద్‌ 2౪03 10180౪06 0 & షం రంప
7	339.5	with §Šþ d. (cf. 26.7)		ఇకుద్‌ 4(య 267)
7	360.1	í³Ë$^Œþ+§é… = í³Ë$§Šþ+§é… = í³Ë$§éª…		'పిలుచ్‌+దాం = పిలుద్‌+దాం = పిలుద్దాం
7	390.8	Fyæþ$^Œþ+§é… = Fyæþ$§Šþ+§é… = Fyæþ$§éª…		ఊడుచ్‌+దాం = ఊడుద్‌+దాం = ఊడుద్దాం
7	421.7	Ìôý^Œþ+§é… = Ìôý§Šþ+§é… = Ìôý§éª…		లేచ్‌+దాం = లేద్‌+దాం = లేద్దాం
7	458.4	The ^Œþ c ending bases of (C)V		మం చ్‌ ౧య6మ08 026 01 (6
7	470.5	second vowel Eþu  when follwed by a suffix beginning with C i or æ–   except		$60026 ౪0౪61 ఉ 2 ఇల 101౪66 6 2 5880, 0ంక్ర00 008 14 ఇ “00 ఖె ఆంం!
7	489.6	the conditional suffix &C™óþþ-it£.		(ఏం 0006100021 940% -ఇతే 46
7	506.5	Hyæþ$^Œþ+æ– +yæþ$ = HyŠþa+æ– +yæþ$ = Hyéayæþ$		ఏడుచ్‌+శండు = ఏడ్చ్‌*శాడు = ఏడ్చాడు
7	522.0	£∂uc+æ– +∂u = £∂c+æ– +∂u		క
7	541.1	Fyæþ$^Œþ+C…+¨ = FyŠþa+C…+¨ = Fyìþa…¨		'ఊడుచ్‌+ఇం+ది = ఊడ్చ్‌+ఇం+ది = ఉడ్చింది.
7	586.4	HyìþõÜ¢		ఏడిస్తే
7	623.3	AÐèþ$ÃV>Ææÿ$þammag¡ru 'madam' is used by the people of lower strata		అమ్మగారు 22224822/92600' 13 ౪666 0) 16 0౦౦016 ౦110౪6 022
