legacy	rom
Mæü$/Mìü	ku/ki
A…§æþ$ÌZþ	aṁdulō
C…§æþ$ÌZý	iṁdulō
G…§æþ$ÌZ	eṁdulō
§é°ÌZ	dānilō
©°ÌZ	dīnilō
§óþ°ÌZ	dēnilō
ÌZþ	lō
Mæü¯èþ$²	kannu
^ðþÆÿ$$Å	cheyyi
^óþ™èþ$Ë$	cētulu
C…sZÏ	iṁtlō
Ñç³È™èþ…V>	viparītaṁgā
¡{Ðèþ…V>	tīvraṁgā
Ñç³È™èþ…	viparītaṁ
¡{Ðèþ…	tīvraṁ
A°²	anni
A¯èþ$	anu
Mö¯èþ$	konu
†¯èþ$	tinu
Ñ¯èþ$	vinu
E…yæþ$	uṁḍu
°ÌZa	nilcō
Mø	kō
ò³r$tMø	peṭṭukō
A¯èþ$ü	anu
¯èþ$ü	nu
Kü	ō
E…ü	uṁ
E…yæþ$ü	uṁḍu
yæþ$ü	ḍu
þMøçÜ…	kōsaṁ
F¶	ū
F	ū
Cç³šyìþç³šyæþ$	ippuḍippuḍu
AÆ>	arā
†¯èþÆ>	tinarā
Æ>Æ>	rārā
†¯èþ…yìþ	tinaṁḍi
H…Æ>	ēṁrā
Mö…™èþ	koṁta
Mö°²	konni
¯èþ$…_/&°…_	nuṁci/niṁci
yæþº$¾	ḍabbu
{í³Äæý$Ððþ$O¯èþü	priyamaina
_Ææÿ…iÑ	ciraṁjīvi
Cr$Ï	iṭlu
†¯èþr…	tinaṭaṁ
Æ>Ðèþr…	rāvaṭaṁ
´ùÐèþr…	pōvaṭaṁ
†¯èþr…/†¯èþyæþ…	tinaṭaṁ/tinaḍaṁ
Æ>Ðèþr…/Æ>Ðèþyæþ…	rāvaṭaṁ/rāvaḍaṁ
Mæü*Æøar…/Mæü*Æøayæþ…	kūrcōṭaṁ/kūrcōḍaṁ
Byæþr…/Byæþyæþ…	āḍaṭaṁ/āḍaḍaṁ
^ðþ‹³	cep
^ðþº$	cebu
Mæü…sñý	kaṁṭe
A…	aṁ
B°	āni
ç³#çÜ¢Mæü…	pustakaṁ
™é/&™èþ$…	tā/-tuṁ
™èþ$…	tuṁ
™é	tā
Ðèþ$¯èþ…	manaṁ
§é…	dāṁ
r$t	ṭu
yæþ$þ	ḍu
E…	uṁ
¯èþ$Ðèþ#Ó	nuvvu
Ðóþ$…	mēṁ
°¯èþ$²	ninnu
Ðèþ$Ðèþ$ÃÍ²þ	mammalni
Ðèþ$¯èþÍ²þ	manalni
Ðèþ$Ðèþ$ÃÍ²	mammalni
Ðèþ$¯èþÍ²	manalni
§éM>	dākā
Aç³µsìý	appaṭi
Cç³µsìý	ippaṭi
Gç³µsìý	eppaṭi
õÜç³#	sēpu
™èþ$	tu
™èþ*	tū
Mæüç³š	kappu
ç³š	ppu
^ðþç³#¢¯é²¯èþ$/^ðþº$™èþ$¯é²¯èþ$	ceptunnānu/cebutunnānu
†ç³š	tippu
^ðþç³šþ	ceppu
CÐèþ™èþÍ	ivatali
AÐèþ™èþÍþ	avatali
AÐèþ™èþËþ	avatala
Ðèþ$°íÙþ	maniṣhi
Ðèþ$¯èþ$çÙ$Ë$þ	manuṣulu
^ðþÆÿ$$Å	ceyyi
HÆ>µr$	ērpāṭu
HÆ>µr$^ðþÆÿ$$Å	ērpāṭuceyyi
BËçÜÅ…	ālasyaṁ
BËçÜÅ…^ðþÆÿ$$Å	ālasyaṁceyyi
ÐóþçÜ$t	vēsṭu
ÐóþçÜ$t^ðþÆÿ$$Å	vēsṭuceyyi
´ù	pō
C…	iṁ
MöÆÿ$$Å	koyyi
Æ>Æÿ$$	rāyi
Ðèþ^Œþa	vacc
¡çÜ$Mø^Œþa	tīsukōcc
B/&A	ā/-a
¯Œþ²	nn
E¯Œþ²	unn
ç³r$tMø	paṭṭukō
E¯é²…	unnāṁ
E¯èþ²¨	unnādi
E¯é²Æÿ$$	unnāyi
Aü	a
Ìôý§æþ$ü	lēdu
Ðèþ^èþ$a	vaccu
Mæü*yæþ§æþ$	kūḍadu
Æ>§æþ*	rādū
A¯èþ$Mø	anukō
ÐðþOç³#	vaipu
ÌZMìü	lōki
ÌZ°…_	lōniṁci
Ðèþ*	mā
Væü$Ç…_	guriṁci
¯èþÐèþ#Ó™èþ*	navvutū
¯èþÐèþ#Ó™èþ$¯èþ²	navvutunna
™èþ$¯èþ²	tunna
C…^èþ$	iṁcu
C‹Ü	is
AÐŒþ$	am
ÆæÿÐèþ$Ã¯èþ$	rammanu
´÷Ðèþ$Ã¯èþ$	pommanu
Ñ°í³…^èþ$	vinipiṁcu
AsêÏ	aṭlā
AsêÏVóü	aṭlāgē
AÌêVóü	alāgē
ÌZV>	lōgā
Ar…	aṭaṁ
Ððþâæýåsê°Mìü	veḷḷaṭāniki
†¯èþsê°Mìü	tinaṭāniki
™ø…¨	tōṁdi
™èþ$¯èþ²¨	tunnadi
AçÜË$	asalu
G…™ø	eṁtō
Æÿ$$Å/Æÿ$$þ	yyi/yi
r$tþ	ṭṭu
^ðþ¼™ó	cebitē
´ùþ	pō
AMæü´ù™óþþ	akapōtē
õÜç³sìý	sēpaṭi
Ððþ$$¯èþ²sìý	monnaṭi
°¯èþ²sìý	ninnaṭi
Ððþ$$¯èþ²	monna
°¯èþ²	ninna
Æóÿç³#	rēpu
ÌZV>þ	lōgā
ÌZV>ý	eppaṭi
kr$t	juṭṭu
A…§æþMæü´ù™óþ	aṁdakapōtē
M>âæý$å	kāḷḷu
´ùü	pō
Äæý*/&Æÿ$$…	yā/-yiṁ
M>ü	kā
Æ>ü	rā
™óþü	tē
AÐèþ#&ü	avu
Äæý*/-&C…	yā/-iṁ
AÄæý*Å…	ayyāṁ
AÄæý*ÅÐèþ#	ayyāvu
AÄæý*ÅÆæÿ$	ayyāru
AÄæý*Åyæþ$	ayyāḍu
AÄæý*ÅÆÿ$$	ayyāyi
M>	kā
´ëçÜ$M>	pāsukā
°{§æþ´ù	nidrapō
AÆÿ$$™óþ	ayitē
AÆÿ$$	ayi
AÆÿ$$…¨	ayiṁdi
AÆÿ$$…¨/I…¨	ayiṁdi/aiṁdi
™ðþË$çÜ$	telusu
™ðþÍÄæý$§æþ$	teliyadu
™ðþÍÄæý$Ðèþ#	teliyavu
Æ>§æþ$	rādu
Æ>Ðèþ#	rāvu
{Mìü™èþ…	kritaṁ
ÌôýMæü´ù™óþ	lēkapōtē
AMæü´ù™óþ	akapōtē
Ìôý	lē
™èþ¯èþ$	tanu
I¯é	ainā
ç³yæþ$	paḍu
yŠþz	ḍḍ
